WaitDays,SMS_received,No_Show_Rate,Count
78,0,0.35714285714285715,14
78,1,0.4444444444444444,9
79,0,0.4375,16
79,1,0.5,2
80,0,0.4,5
80,1,0.4,5
81,0,0.0,1
82,0,0.0,3
82,1,0.2,5
83,0,0.2,20
83,1,0.23529411764705882,34
84,0,0.42857142857142855,7
84,1,0.16666666666666666,30
85,0,0.0,1
85,1,0.2,5
86,0,0.375,8
86,1,0.25,8
87,0,0.0,2
87,1,0.35714285714285715,14
88,0,0.5,4
88,1,0.38461538461538464,13
89,0,0.125,8
89,1,0.26,50
90,0,0.30434782608695654,23
90,1,0.15151515151515152,33
91,1,0.0,3
92,0,0.0,1
92,1,0.0,1
93,0,0.0,1
93,1,0.0,1
94,1,0.2,5
95,0,0.0,1
95,1,0.3333333333333333,3
96,0,0.0,1
96,1,0.0,1
97,0,0.0,1
97,1,0.25,4
100,1,0.0,1
101,0,0.5,2
101,1,0.0,2
102,0,0.5,2
102,1,0.6666666666666666,3
103,1,0.75,8
104,0,0.0,3
104,1,0.0,1
106,0,0.0,1
106,1,0.0,1
107,0,0.0,5
108,1,0.0,5
109,0,0.0,1
109,1,1.0,1
110,0,0.0,1
110,1,0.25,4
111,0,0.0,3
111,1,0.0,2
114,1,0.0,2
116,1,0.0,1
118,1,0.0,4
121,0,0.0,1
121,1,0.0,2
122,1,0.0,1
124,1,0.0,1
125,0,1.0,1
126,1,0.0,1
131,1,1.0,1
132,0,0.36363636363636365,11
138,1,1.0,1
141,1,0.375,8
145,1,1.0,1
150,1,1.0,1
154,0,1.0,1
154,1,0.5555555555555556,9
161,0,0.18181818181818182,11
168,0,0.0,1
168,1,0.14285714285714285,7
175,0,0.3333333333333333,3
175,1,0.38461538461538464,13
178,0,0.3333333333333333,3
178,1,0.14285714285714285,7
